grand,3623
premier,2972
fort,2910
toucher,2597
nouveau,2578
catastrophe,2489
aider,2437
frapper,2324
national,2314
semaine,2295
americain,2085
secourir,1969
millier,1952
passer,1943
petit,1922
jeudi,1882
responsable,1830
premiere,1822
aujourd,1797
capital,1717
haut,1576
international,1569
long,1563
important,1550
lieu,1531
vivre,1472
tropical,1429
francais,1384
public,1368
seul,1349
rouge,1279
lire,1274
montrer,1237
archipel,1230
abri,1214
blesser,1212
principal,1184
prochain,1179
assurer,1156
americaine,1148
lancer,1146
grouper,1120
bon,1112
civil,1109
politique,1107
situer,1096
maintenir,1093
proche,1081
sinistre,1075
fermer,1069
large,1062
difficile,1054
central,1050
moyen,1031
mondial,1019
militaire,1012
arbre,1007
tel,1006
ancien,992
violent,990
echelle,983
durer,982
officiel,969
pire,941
americains,935
priver,917
rafale,899
dernieres,898
general,895
comprendre,894
diriger,891
gros,883
train,880
bureau,876
ensemble,871
jeune,859
batiments,847
accompagner,843
source,840
baser,831
armee,827
approcher,821
majeur,820
humanitaire,818
chuter,816
graver,815
climatique,800
dernier,799
media,797
manquer,791
bateau,789
voiturer,789
plupart,782
humain,777
droit,769
secousse,768
noir,763
guere,762
prefecture,761
miser,759
social,753
emporter,732
atlantique,730
bas,723
floride,721
voisin,717
tour,715
feu,709
rencontrer,694
inonder,687
pompier,682
importer,681
limiter,680
affecter,677
dangereux,675
premieres,673
tempetes,662
commun,656
critiquer,650
parler,647
systeme,638
economique,634
construire,631
mobiliser,621
organiser,606
nouvelle,602
ressentir,597
gagner,595
societe,594
installer,593
meteorologiques,592
moyenner,589
meteorologique,570
historique,570
golfe,569
produit,563
probleme,554
pauvre,551
veiller,550
normal,548
aupres,546
beau,543
boue,541
acces,540
present,539
livrer,535
bien,530
sante,527
pointer,527
meilleur,524
minuter,523
provisoire,522
chinois,518
materiels,515
couper,514
logement,513
detruites,509
sauver,507
direct,505
marquer,501
trajectoire,500
intervenir,496
journal,495
communaute,495
seconder,495
seismes,494
devaste,492
soiree,492
secouriste,490
personnel,490
inondees,486
tuees,484
cesser,482
lourd,473
evoque,473
nucleaire,472
electriques,472
mouvement,469
periode,469
signaler,465
exceptionnel,462
americaines,460
engager,454
blanc,451
infrastructure,450
pere,450
evacues,450
propre,450
vrai,443
culture,442
diluvien,436
cyclonique,436
navire,435
helicopteres,433
ecole,430
voisiner,430
presente,430
meurtrier,429
effondrer,428
touristique,425
maritime,425
cadrer,422
objectif,421
vieux,419
message,418
potable,417
littoral,414
ciel,411
problemes,411
epoque,410
hopital,409
jeu,409
scientifique,406
maree,403
fuir,403
fleuve,402
candidat,399
indien,399
releve,399
age,398
cotieres,398
peri,395
decombres,393
coupees,391
domicile,390
meteorologie,389
entier,389
depart,388
vehicules,386
rejoindre,386
stade,382
voix,381
bloquer,381
intense,380
idee,380
repliques,374
alimentaire,372
calmer,372
presidentielle,372
planete,368
armer,368
insister,366
simple,366
telephone,365
reseaux,365
issu,362
detruits,361
apprendre,361
immediatement,360
poster,359
sismique,358
materiel,358
imposer,357
actuel,357
retrograde,356
financier,355
froid,355
oriental,353
agricole,353
rivieres,351
geophysique,350
